090328_JM37BK	0.6277	0.77126	0.01062	166.37
090328_KC36GK	0.73404	1.2038	-0.0096814	138.12
090328_KQ58MB	0.71455	0.88883	-0.0087082	154.135
090328_NP62FK	0.68513	0.8381	0.029271	137.47
090328_RJ76QB	0.73311	0.99295	-0.018037	201.495
090328_XF45WB	0.63915	0.99785	-0.0143	193.885
090328_ZJ73UK	0.75873	1.2095	-0.022672	238.265
090330_BE85YB	0.74847	1.0411	0.0025413	220.315
090330_GH68KK	0.67281	0.9528	-0.013152	142.92
090330_KB34AK	0.75809	1.1386	-0.0307	216.41
090330_TB87BB	0.75092	1.0292	-0.025179	175.76
090330_YW68JK	0.7727	1.0239	-0.017689	204.075
090331_PV95FK	0.74775	1.1552	-0.023967	164.26
090401_YV74BB	0.71108	0.97436	-0.017669	129.94
090401_ZJ46FK	0.65511	0.90516	0.0083598	222.09
090402_HN79SK	0.70666	1.1519	-0.014311	147.03
090404_SM64DB	0.75504	1.0523	-0.0074094	196.345
090407_PR65JK	0.55435	0.78967	-0.0033528	179.84
090407_SB29SK	0.68272	0.90668	0.017756	144.08
090407_ZH63KB	0.7208	0.97662	-0.0073617	184.955
090409_SH74YK	0.7537	1.0424	-0.01148	133.42
090409_SQ96JK	0.74525	1.0773	-0.033064	198.775
090411_ED43KK	0.80186	0.96318	-0.0050012	170.35
090411_TJ46RK	0.72836	0.98359	-0.021334	158.935
090413_BB88TK	0.63433	0.91641	-0.0048402	156.93
090413_PG76BK	0.66046	0.92197	0.0061809	213.89
090414_DG28HB	0.7304	1.0892	0.0023767	174.045
090414_RX85UB	0.71538	0.83988	0.019806	194.51
090414_WU77YK	0.72589	0.98813	0.022895	131.43
090414_WZ32UK	0.74915	1.1171	0.011146	188.55
090415_DD88GK	0.68798	1.0415	-0.0069701	173.37
090415_EM97CB	0.64017	1.0389	0.00055976	140.24
090421_JW83CB	0.71977	0.91149	-0.0094871	220.63
090421_MB25JB	0.69134	0.84392	0.0082921	140.845
090422_ES67DK	0.66596	1.0199	-0.020804	200.85
090422_ZD43DK	0.66511	0.97459	-0.005391	215.13
090425_FY89SB	0.70424	0.83096	0.04434	183.675
090425_GD97HB	0.56677	0.64204	0.063465	111.08
090425_GH76CB	0.70717	0.83766	0.011246	126.77
090425_GS44MB	0.71972	0.9221	0.00060172	212.445
090425_GY88NB	0.74091	1.0742	0.029421	179.325
090425_JB27PB	0.7061	1.0422	-0.019307	170.385
090425_JF78VK	0.7964	1.0809	-0.033432	196.44
090425_JM77EB	0.80156	1.3411	-0.032747	208.735
090425_KV46EB	0.7957	1.1236	-0.005928	194.19
090425_MW65UB	0.65062	1.0551	-0.013938	168.235
090425_QE65SK	0.76375	1.0176	0.017542	190.495
090425_QF86JB	0.78047	1.0678	-0.003124	112.22
090425_QH65VB	0.75473	0.93901	-0.024943	175.245
090425_RY72DB	0.72357	0.97235	0.016196	148.73
090425_VC67KB	0.7438	0.99677	-0.032767	199.33
090425_ZY47EK	0.74025	1.0336	-0.032754	235.58
090427_DW86AB	0.75004	0.80846	0.11829	154.69
090427_KW47TB	0.71598	1.0154	0.11633	180.57
090427_NY83QK	0.69266	0.99118	0.0023802	158.2
090427_QG56HK	0.68037	0.80742	0.020714	135.835
090427_QK93GB	0.65945	1.1703	0.0088938	161.2
090427_VQ28GK	0.76523	1.1303	-0.0344	168.22
090427_WM59BK	0.71212	0.961	-0.027498	176.59
090428_CG88YB	0.68866	0.83328	0.023504	129.995
090429_CB22TB	0.6878	0.91612	-0.025252	169.89
090429_HB85RB	0.69583	0.95695	0.029224	127.00
090502_PY72CB	0.67896	0.854	0.054008	125.23
090502_RP45UK	0.75195	1.1442	-0.0081404	168.64
090507_EJ25GB	0.73994	1.1088	0.0035116	134.08
090508_KS68SK	0.74376	1.1513	-0.039515	217.51
090509_YZ37YB	0.77189	1.0258	0.0041662	105.185
090512_TU56FK	0.72542	1.022	-0.01369	194.60
090514_EW84NH	0.65023	1.0189	0.016927	187.20
090514_HW24BB	0.76101	1.1071	-0.0074342	266.025
090514_KF92PH	0.6953	0.94609	-0.014321	144.26
090515_MH67YH	0.72886	0.84417	-0.021183	146.795
090515_MT47EH	0.7001	0.77398	0.015022	164.84
090515_UU68FH	0.78396	1.2319	-0.035908	196.115
090516_CZ49PK	0.59829	0.78805	0.029768	145.91
090516_DY85BB	0.69678	1.1027	-0.024085	253.66
090516_GS39QK	0.60539	0.81497	-0.011619	170.08
090516_KH88MK	0.70508	0.91272	0.011787	206.80
090516_KQ42SK	0.76653	1.0731	-0.008696	182.965
090516_PT45FK	0.69722	0.81915	0.021374	140.22
090516_VQ46CB	0.67352	0.96909	0.0081903	227.05
090519_AA89HU	0.71247	0.93762	0.029318	120.34
090519_BS33KK	0.74833	1.1023	-0.00048566	142.2
090519_CP77FB	0.78595	1.0835	-0.029516	136.12
090519_RK47TB	0.73216	1.1392	-0.0094792	153.755
090519_SG43HK	0.75327	0.8924	0.033024	162.2
090519_SY38FB	0.70989	0.97118	0.0080101	135.935
090520_NM64UB	0.7071	0.91599	0.0096866	163.565
090520_RV83KK	0.70596	0.94713	0.029748	152.035
090520_YV65SB	0.70979	1.0441	-0.017583	200.855
090521_FJ28ZH	0.68126	1.104	-0.0068693	132.82
090523_CB36WB	0.79983	1.089	-0.010321	159.16
090524_FM38MB	0.8034	1.1203	0.052817	261.705
090527_AR25MB	0.62173	0.69422	0.016834	234.975
090527_JT28FB	0.74364	1.0597	-0.0049485	200.18
090527_MT48DB	0.77101	1.0143	-0.013228	182.66
090527_SD67VK	0.75386	1.2772	-0.023396	184.515
090527_WZ87CK	0.69223	0.86755	0.022514	167.205
090527_YH22XK	0.66421	0.87013	0.047174	179.785
090528_SA94MK	0.6378	0.86286	-0.0089169	138.02
090529_BC63AU	0.71398	1.0799	-0.023067	210.45
090529_KZ68XU	0.70992	0.97612	0.0037442	180.15
090529_PE68YB	0.67653	0.90445	0.0072775	198.48
